t,dim_1
987,4.5166613570713525e-5
988,4.516660066694925e-5
989,4.51665887558188e-5
990,4.516657783732163e-5
991,4.516656791145727e-5
992,4.516655897822529e-5
993,4.5166551037625246e-5
994,4.516654408965684e-5
995,4.51665381343197e-5
996,4.516653317161361e-5
997,4.516652920153835e-5
998,4.5166526224093726e-5
999,4.516652423927961e-5
1000,4.5166523247095914e-5
1001,4.516652324754259e-5
1002,4.5166524240619666e-5
1003,4.516652622632715e-5
1004,4.5166529204665144e-5
1005,4.516653317563379e-5
1006,4.516653813923321e-5
1007,4.516654409546371e-5
1008,4.5166551044325486e-5
1009,4.516655898581889e-5
1010,4.516656791994424e-5
1011,4.516657784670197e-5
1012,4.516658876609252e-5
1013,4.516660067811631e-5
1014,4.516661358277396e-5
1015,4.516662748006599e-5
1016,4.516664236999301e-5
1017,4.5166658252555715e-5
1018,4.51666751277548e-5
1019,4.516669299559104e-5
1020,4.5166711856065137e-5
1021,4.5166731709178024e-5
1022,4.516675255493056e-5
1023,4.516677439332366e-5
1024,4.516679722435828e-5
1025,4.516682104803548e-5
1026,4.516684586435626e-5
1027,4.5166871673321774e-5
1028,4.516689847493315e-5
1029,4.5166926269191584e-5
1030,4.5166955056098314e-5
1031,4.516698483565462e-5
1032,4.516701560786177e-5
1033,4.516704737272122e-5
1034,4.516708013023433e-5
1035,4.516711388040255e-5
1036,4.516714862322741e-5
1037,4.516718435871042e-5
1038,4.516722108685324e-5
1039,4.516725880765744e-5
1040,4.5167297521124683e-5
1041,4.51673372272567e-5
1042,4.516737792605531e-5
1043,4.5167419617522264e-5
1044,4.516746230165943e-5
