t,mu,var,truth,obs,residual,abs_residual,residual2
162.0,-4.532237871557749,5.856118416246717,-4.724219863984661,-8.302234415037987,-0.19198199242691238,0.19198199242691238,0.036857085416207046
163.0,-4.784035625028698,5.853590515792263,-5.5805227128677934,-10.268672506493743,-0.796487087839095,0.796487087839095,0.6343916810944024
164.0,-4.292242195928202,5.848390235823407,-6.381066823479502,-4.226954864935487,-2.0888246275512996,2.0888246275512996,4.363188324664826
165.0,-4.462493459627741,5.840331786806341,-7.117853423691231,-11.507961992400777,-2.65535996406349,2.65535996406349,7.05093653875126
166.0,-3.155263925486551,5.837558793680844,-7.783520785342985,-6.222116131794785,-4.6282568598564335,4.6282568598564335,21.420761560808135
167.0,-2.545278838737212,5.832806119244434,-8.371417780197469,-6.864103742527659,-5.826138941460257,5.826138941460257,33.94389496519964
168.0,-2.0214410492681942,5.8262070528153345,-8.875670335815046,-7.716400936038037,-6.854229286546852,6.854229286546852,46.98045911255657
169.0,-1.3185074634282996,5.819220728516026,-9.291240127343697,-8.429291620383411,-7.972732663915397,7.972732663915397,63.564466130263504
170.0,-0.15830042739514266,5.815601517013516,-9.613974918795568,-11.154540320761711,-9.455674491400426,9.455674491400426,89.40978008732071
171.0,1.998780419445321,5.828809034888707,-9.840650050816434,-10.874797235918843,-11.839430470261755,11.839430470261755,140.17211386016248
172.0,3.662355449493723,5.8460857508110555,-9.969000660415961,-9.23751744213752,-13.631356109909685,13.631356109909685,185.8138693951721
173.0,5.016970714097975,5.86234349388249,-9.997744310730111,-12.638791232214471,-15.014715024828085,15.014715024828085,225.44166727679826
174.0,6.4966060322115,5.879346622684845,-9.926593804706327,-11.69422930576234,-16.423199836917828,16.423199836917828,269.72149288333776
175.0,7.321188035406663,5.890537939371244,-9.756260054681576,-10.219379910085621,-17.07744809008824,17.07744809008824,291.63923326965846
176.0,6.839988176892121,5.895594003603691,-9.48844497918124,-10.027333993697665,-16.328433156073363,16.328433156073363,266.6177293323559
177.0,5.881858785198329,5.898971879803425,-9.125824497911845,-9.415227663085483,-15.007683283110174,15.007683283110174,225.23055752614457
178.0,5.33846946226541,5.898572345730416,-8.672021794855812,-5.819589554419686,-14.010491257121222,14.010491257121222,196.2938652658702
179.0,4.796844976990646,5.895408625850229,-8.131571116614865,-4.456429817297442,-12.92841609360551,12.92841609360551,167.14394268939793
180.0,3.4424123252471106,5.8964851407542636,-7.509872467716762,-8.3526189327694,-10.952284792963873,10.952284792963873,119.9525421861877
181.0,2.2640115474873337,5.898846516068801,-6.813137655555,-5.706825137170107,-9.077149203042334,9.077149203042334,82.39463765429207
182.0,1.0251153652547647,5.902733920162786,-6.048328224062841,-6.104291100631668,-7.0734435893176055,7.0734435893176055,50.03360421125833
183.0,-0.18234227474268708,5.90742451050504,-5.223085896267316,-0.8551637985733924,-5.040743621524628,5.040743621524628,25.409096257941226
184.0,-1.548596609686797,5.914333503974416,-4.3456562207189355,-2.059531865988672,-2.7970596110321386,2.7970596110321386,7.8235424676672585
185.0,-3.574835474786986,5.931914290402326,-3.4248061846961253,-6.931055847018763,0.15002929009086063,0.15002929009086063,0.02250878788516761
186.0,-4.293623486724069,5.942996601225516,-2.469736617366209,-3.315262022959276,1.8238868693578603,1.8238868693578603,3.3265633122160163
