t,μ_pos,μ_vel,μ_acc,σ2_pos,σ2_vel,σ2_acc
225,-459.0052857463089,-50.60804609512961,-2.37992216144133,0.014249717011791441,0.021035901732053806,0.12153721346971516
226,-464.0779899683955,-50.8460383092832,-2.350008324659155,0.014249717011791438,0.02103590173205379,0.12153721346971512
227,-469.17434384068986,-51.08103913978488,-2.3324516443224614,0.014249717011791436,0.02103590173205378,0.1215372134697152
228,-474.2941100127454,-51.314284302267545,-2.3271264632779003,0.014249717011791438,0.021035901732053792,0.12153721346971529
229,-479.43717407628253,-51.54699694654565,-2.3342981739753075,0.014249717011791436,0.021035901732053778,0.12153721346971529
230,-484.60354526318866,-51.78042676175583,-2.3547091944146397,0.014249717011791422,0.021035901732053757,0.12153721346971531
231,-489.79336148754624,-52.01589767878865,-2.389481847438761,0.014249717011791424,0.021035901732053743,0.12153721346971531
232,-495.0068986677852,-52.25484586081222,-2.4402824716749523,0.014249717011791441,0.021035901732053764,0.12153721346971531
233,-500.24458466583184,-52.4988741052987,-2.507964018156483,0.014249717011791441,0.021035901732053747,0.12153721346971524
234,-505.5070118953669,-52.749670504541605,-2.5920644083004216,0.014249717011791438,0.021035901732053726,0.1215372134697152
235,-510.79493926809124,-53.00887694277568,-2.692315952616392,0.01424971701179144,0.02103590173205373,0.12153721346971516
236,-516.1092885406199,-53.278108535593034,-2.808317502933039,0.014249717011791438,0.021035901732053726,0.12153721346971509
237,-521.4511409788206,-53.558940283729044,-2.93869865243359,0.014249717011791434,0.021035901732053695,0.12153721346971509
238,-526.8217284963062,-53.852810147229995,-3.0812649534937684,0.014249717011791443,0.021035901732053736,0.12153721346971512
239,-532.2224158293546,-54.160936641481506,-3.2327066753761424,0.014249717011791431,0.021035901732053712,0.12153721346971512
240,-537.6546730190809,-54.484207308701535,-3.3885736121597003,0.014249717011791434,0.02103590173205374,0.12153721346971509
241,-543.1200366119132,-54.82306467020823,-3.5445227181772223,0.014249717011791438,0.021035901732053722,0.12153721346971509
242,-548.6200656836587,-55.1775169432047,-3.695877501637979,0.014249717011791433,0.021035901732053733,0.12153721346971509
